name,module_name,category,seo_factor,estimated_weight,impact,explanation,google_element,api_source
Domain Authority,siteAuthority,Domain Authority,Domain Authority,10,High,도메인의 전반적인 권위와 신뢰성. PageRank와 백링크 품질을 종합적으로 평가합니다.,siteAuthority,Search Console API
PageRank,PageRank,Link SEO,Backlink Quality,10,High,Google의 핵심 랭킹 요소. 홈페이지의 PageRank가 모든 문서 랭킹에 영향을 미칩니다.,PageRank,Search Console API
Mobile Friendliness,Mobile SEO,Technical SEO,Mobile SEO,10,High,모바일 최적화가 검색 가시성에 미치는 영향. 반응형 디자인과 터치 타겟 크기가 중요합니다.,Mobile Friendliness,PageSpeed API / Search Console URL Inspection
Core Web Vitals - LCP,PageSpeed API,Technical SEO,Page Speed,9,High,Largest Contentful Paint (LCP). PageSpeed API의 Loading Experience에서 제공하는 실제 사용자 메트릭입니다.,Core Web Vitals,PageSpeed API
Core Web Vitals - FCP,PageSpeed API,Technical SEO,Page Speed,9,High,First Contentful Paint (FCP). PageSpeed API의 Lighthouse 결과에서 제공하는 성능 메트릭입니다.,Core Web Vitals,PageSpeed API
Core Web Vitals - CLS,PageSpeed API,Technical SEO,Page Speed,9,High,Cumulative Layout Shift (CLS). PageSpeed API의 Lighthouse 결과와 Loading Experience에서 제공합니다.,Core Web Vitals,PageSpeed API
Core Web Vitals - FID,PageSpeed API,Technical SEO,Page Speed,9,High,First Input Delay (FID). PageSpeed API의 Loading Experience에서 제공하는 실제 사용자 메트릭입니다.,Core Web Vitals,PageSpeed API
Lighthouse Performance Score,PageSpeed API,Technical SEO,Page Speed,9,High,Lighthouse 성능 점수 (0-100). PageSpeed API의 LighthouseResult.categories.performance.score입니다.,Performance Score,PageSpeed API
Lighthouse SEO Score,PageSpeed API,Technical SEO,SEO Score,9,High,Lighthouse SEO 점수 (0-100). PageSpeed API의 LighthouseResult.categories.seo.score입니다.,SEO Score,PageSpeed API
Lighthouse Accessibility Score,PageSpeed API,Technical SEO,Accessibility,8,High,Lighthouse 접근성 점수 (0-100). PageSpeed API의 LighthouseResult.categories.accessibility.score입니다.,Accessibility Score,PageSpeed API
Lighthouse Best Practices Score,PageSpeed API,Technical SEO,Best Practices,8,High,Lighthouse 모범 사례 점수 (0-100). PageSpeed API의 LighthouseResult.categories.best-practices.score입니다.,Best Practices Score,PageSpeed API
Loading Experience Metrics,PageSpeed API,Technical SEO,Page Speed,9,High,실제 사용자 로딩 경험 메트릭. PageSpeed API의 LoadingExperience.metrics에서 제공하는 median, percentile 값입니다.,Loading Experience,PageSpeed API
Brand Recognition,Brand Signals,Social Signals,Social Signals,9,High,Google 검색 외부에서의 브랜드 구축이 가장 중요합니다. 브랜드가 다른 모든 것보다 중요합니다.,Brand Recognition,Search Console API
