FactorID,ModuleName,AttributeName,DescriptionEN,DescriptionKR,Weight,SEOCategory,ImpactType,Priority,AlgorithmKey,ScoringMethod,APISource,GoogleElement,MaxScore
F001,NavBoost,goodClicks,Long dwell time clicks indicating user satisfaction,사용자가 만족한 클릭 (긴 체류시간),10,User Engagement,Positive,P0,navboost.good_clicks,engagement_score,Search Console API,Good Clicks,100
F002,NavBoost,badClicks,Quick return clicks (pogo-sticking),빠르게 이탈한 클릭 (포고스틱),10,User Engagement,Negative,P0,navboost.bad_clicks,pogo_risk,Search Console API,Bad Clicks,100
F003,NavBoost,lastLongestClicks,Final dwelled-upon result signaling search completion,검색 세션의 마지막이자 가장 오래 머문 클릭,10,User Engagement,Positive,P0,navboost.last_longest,session_completion,Search Console API,Last Longest Clicks,100
F004,NavBoost,unsquashedClicks,Verified genuine user interactions,검증된 실제 클릭,9,User Engagement,Positive,P0,navboost.unsquashed,click_quality,Search Console API,Unsquashed Clicks,100
F005,NavBoost,impressions,Search result impressions count,검색 결과 노출 횟수,8,Visibility,Neutral,P1,navboost.impressions,visibility_score,Search Console API,Impressions,100
F006,NavBoost,ctr,Click-through rate,클릭률,9,User Engagement,Positive,P0,navboost.ctr,ctr_potential,Search Console API,CTR,100
F007,NavBoost,position,Average search ranking position,평균 검색 순위,8,User Engagement,Positive,P1,navboost.position,position_score,Search Console API,Position,100
F008,CompressedQualitySignals,siteAuthority,Domain-level trust and authority score,도메인 레벨 신뢰도/권위도 점수,10,Domain Authority,Positive,P0,quality.site_authority,authority_score,Search Console API,siteAuthority,100
F009,CompressedQualitySignals,pandaDemotion,Panda algorithm demotion for low-quality content,저품질 콘텐츠 Panda 강등,9,Content Quality,Negative,P0,quality.panda_demotion,thin_content_risk,Internal Analysis,pandaDemotion,100
F010,CompressedQualitySignals,navDemotion,Navigation/UX issues demotion,네비게이션/UX 문제 강등,8,User Experience,Negative,P0,quality.nav_demotion,ux_issues_risk,Internal Analysis,navDemotion,100
F011,CompressedQualitySignals,originalContentScore,Content originality score (0-512 scale),콘텐츠 원본성 점수,9,Content Quality,Positive,P0,quality.original_content,originality_score,Internal Analysis,Originality Score,512
F012,CompressedQualitySignals,ugcDiscussionEffortScore,UGC page quality signal,UGC 페이지 품질 신호,6,Content Quality,Positive,P2,quality.ugc_effort,ugc_quality,Internal Analysis,ugcScore,100
F013,CompressedQualitySignals,productReviewPDemoteSite,Product review site demotion,제품 리뷰 사이트 강등,8,Content Quality,Negative,P1,quality.review_demotion,review_quality_risk,Internal Analysis,productReviewDemotion,100
F014,PerDocData,hostAge,Domain registration age for sandbox detection,샌드박스 감지용 도메인 나이,7,Domain Authority,Positive,P1,perdoc.host_age,domain_age_score,Internal Analysis,Host Age,100
F015,PerDocData,homepagePagerankNs,Homepage PageRank,홈페이지 페이지랭크,10,Link Authority,Positive,P0,perdoc.homepage_pr,pagerank_score,Internal Analysis,PageRank,100
F016,PerDocData,homePageInfo,Trust level (NOT_TRUSTED to FULLY_TRUSTED),신뢰도 단계,8,Trust,Positive,P1,perdoc.trust_level,trust_score,Internal Analysis,homePageInfo,100
F017,PerDocData,registrationInfo,Domain registration quality,도메인 등록 정보 품질,6,Domain Authority,Positive,P2,perdoc.registration,registration_score,Internal Analysis,RegistrationInfo,100
F018,QualityNsrNsr,titlematchScore,Title to query match score,제목과 쿼리 일치도,8,On-Page SEO,Positive,P0,nsr.title_match,title_score,Internal Analysis,titlematchScore,100
F019,QualityNsrNsr,ugcScore,User generated content score,사용자 생성 콘텐츠 점수,6,Content Quality,Variable,P2,nsr.ugc_score,ugc_score,Internal Analysis,ugcScore,100
F020,QualityNsrNsr,spambrainLavcScores,Spam detection scores,스팸 감지 점수,9,Spam Detection,Negative,P0,nsr.spambrain,spam_risk,Internal Analysis,spambrainLavcScores,100
F021,ContentAnalysis,OriginalContentScore,Content originality score normalized,콘텐츠 원본성 점수 (정규화),9,Content Quality,Positive,P0,content.originality,originality_normalized,Internal Analysis,OriginalContentScore,100
F022,ContentAnalysis,keywordStuffingScore,Keyword over-optimization penalty,키워드 과다 최적화 페널티,8,Spam Detection,Negative,P0,content.keyword_stuffing,stuffing_penalty,Internal Analysis,keywordStuffingScore,100
F023,ContentAnalysis,avgTermWeight,Average weighted font size of terms,용어의 평균 가중 폰트 크기,7,On-Page SEO,Positive,P1,content.term_weight,emphasis_score,Internal Analysis,avgTermWeight,100
F024,ContentAnalysis,numTokens,Token count with max cap,토큰 개수 (최대값 제한),5,Content Length,Neutral,P2,content.token_count,length_score,Internal Analysis,numTokens,100
F025,ContentAnalysis,contentDepth,Content depth and comprehensiveness,콘텐츠 깊이와 포괄성,8,Content Quality,Positive,P0,content.depth,depth_score,Internal Analysis,contentDepth,100
F026,ContentAnalysis,readability,Reading ease and accessibility,가독성과 접근성,6,Content Quality,Positive,P2,content.readability,readability_score,Internal Analysis,readability,100
F027,SiteTopics,siteEmbeddings,Vector embeddings of site core topics,사이트 핵심 주제 벡터 임베딩,8,Topical Authority,Positive,P0,topics.embeddings,topic_vector,Internal Analysis,siteEmbeddings,100
F028,SiteTopics,siteFocusScore,Topic focus concentration score,주제 집중도 점수,8,Topical Authority,Positive,P0,topics.focus,topic_focus,Search Console API,siteFocusScore,100
F029,SiteTopics,siteRadius,Deviation from core site embeddings,핵심 주제로부터의 편차,7,Topical Authority,Negative,P1,topics.radius,topic_deviation,Internal Analysis,siteRadius,100
F030,SiteTopics,site2vec,Site-wide topic vector representation,사이트 전체 주제 벡터 표현,7,Topical Authority,Positive,P1,topics.site2vec,site_vector,Internal Analysis,site2vec,100
F031,Freshness,bylineDate,Explicitly set publication date,명시적 작성 날짜,7,Content Freshness,Positive,P1,freshness.byline,date_clarity,Internal Analysis,bylineDate,100
F032,Freshness,syntacticDate,Date extracted from URL or title,URL/제목에서 추출한 날짜,6,Content Freshness,Positive,P1,freshness.syntactic,url_date,Internal Analysis,syntacticDate,100
F033,Freshness,semanticDate,Date derived from content context,콘텐츠에서 해석된 날짜,7,Content Freshness,Positive,P1,freshness.semantic,content_date,Search Console API,semanticDate,100
F034,Freshness,lastSignificantUpdate,Last meaningful content update,마지막 의미있는 업데이트,8,Content Freshness,Positive,P0,freshness.last_update,freshness_score,Internal Analysis,lastSignificantUpdate,100
F035,Freshness,FreshnessTwiddler,Freshness-based re-ranking function,신선도 기반 재랭킹 함수,7,Content Freshness,Positive,P1,freshness.twiddler,freshness_boost,Internal Analysis,FreshnessTwiddler,100
F036,Chrome,chromeInTotal,Total Chrome browser page views,Chrome 총 페이지뷰,7,User Engagement,Positive,P1,chrome.total,chrome_traffic,Internal Analysis,ChromeInTotal,100
