ModuleName,AttributeName,Description_EN,Description_KR,EstimatedWeight,SEOCategory,ImpactType,ImplementationPriority
NavBoost,goodClicks,Clicks where user appears satisfied (long dwell time),사용자가 만족한 클릭 (긴 체류시간),10,User Engagement,Positive,P0
NavBoost,badClicks,Quick return clicks (pogo-sticking),빠르게 이탈한 클릭 (포고스틱),10,User Engagement,Negative,P0
NavBoost,lastLongestClicks,Final dwelled-upon result signaling search completion,검색 세션의 마지막이자 가장 오래 머문 클릭,10,User Engagement,Positive,P0
NavBoost,unsquashedClicks,Verified genuine user interactions,검증된 실제 클릭,9,User Engagement,Positive,P0
NavBoost,impressions,Search result impressions count,검색 결과 노출 횟수,7,Visibility,Neutral,P1
NavBoost,ctr,Click-through rate,클릭률,9,User Engagement,Positive,P0
CompressedQualitySignals,siteAuthority,Domain-level trust/authority score,도메인 레벨 신뢰도/권위도 점수,10,Domain Authority,Positive,P0
CompressedQualitySignals,pandaDemotion,Panda algorithm demotion for low-quality content,저품질 콘텐츠 Panda 강등,9,Content Quality,Negative,P0
CompressedQualitySignals,navDemotion,Navigation/UX issues demotion,네비게이션/UX 문제 강등,8,User Experience,Negative,P0
CompressedQualitySignals,ugcDiscussionEffortScore,UGC page quality signal,UGC 페이지 품질 신호,6,Content Quality,Positive,P2
CompressedQualitySignals,productReviewPDemoteSite,Product review site demotion,제품 리뷰 사이트 강등,8,Content Quality,Negative,P1
CompressedQualitySignals,experimentalQstarDeltaSignal,Experimental Q* signal,실험적 Q* 신호,5,Experimental,Unknown,P3
PerDocData,hostAge,Domain registration age for sandbox detection,샌드박스 감지용 도메인 나이,7,Domain Authority,Positive,P1
PerDocData,homepagePagerankNs,Homepage PageRank,홈페이지 페이지랭크,9,Link Authority,Positive,P0
PerDocData,homePageInfo,Trust level (NOT_TRUSTED to FULLY_TRUSTED),신뢰도 단계,8,Trust,Positive,P1
QualityNsrNsr,titlematchScore,Title to query match score,제목과 쿼리 일치도,8,On-Page SEO,Positive,P0
QualityNsrNsr,ugcScore,User generated content score,사용자 생성 콘텐츠 점수,6,Content Quality,Variable,P2
QualityNsrNsr,spambrainLavcScores,Spam detection scores,스팸 감지 점수,9,Spam Detection,Negative,P0
ContentAnalysis,OriginalContentScore,Content originality score (0-512),콘텐츠 원본성 점수,9,Content Quality,Positive,P0
ContentAnalysis,keywordStuffingScore,Keyword over-optimization penalty,키워드 과다 최적화 페널티,8,Spam Detection,Negative,P0
ContentAnalysis,avgTermWeight,Average weighted font size of terms,용어의 평균 가중 폰트 크기,5,On-Page SEO,Positive,P2
ContentAnalysis,numTokens,Token count with max cap,토큰 개수 (최대값 제한),5,Content Length,Neutral,P2
SiteTopics,siteEmbeddings,Vector embeddings of site core topics,사이트 핵심 주제 벡터 임베딩,8,Topical Authority,Positive,P0
SiteTopics,siteFocusScore,Topic focus concentration score,주제 집중도 점수,8,Topical Authority,Positive,P0
SiteTopics,siteRadius,Deviation from core site embeddings,핵심 주제로부터의 편차,7,Topical Authority,Negative,P1
SiteTopics,site2vec,Site-wide topic vector representation,사이트 전체 주제 벡터 표현,7,Topical Authority,Positive,P1
Freshness,bylineDate,Explicitly set publication date,명시적 작성 날짜,7,Content Freshness,Positive,P1
Freshness,syntacticDate,Date extracted from URL or title,URL/제목에서 추출한 날짜,6,Content Freshness,Positive,P1
